level,macro_category,subcategory,relation,taxis,connector
inter_sentential,Extension,Variation,Alternative,,whether...or
inter_sentential,Extension,Variation,Alternative,,else
inter_sentential,Extension,Variation,Alternative,,otherwise
inter_sentential,Extension,Variation,Alternative,,if not
inter_sentential,Extension,Variation,Alternative,,failing that
inter_sentential,Extension,Variation,Alternative,,as another option
inter_sentential,Extension,Variation,Alternative,,in the alternative
inter_sentential,Enhancement,Manner,Means,,thus
inter_sentential,Enhancement,Manner,Means,,thereby
inter_sentential,Enhancement,Manner,Means,,by this means
inter_sentential,Enhancement,Manner,Means,,via
inter_sentential,Enhancement,Manner,Means,,through
inter_sentential,Enhancement,Manner,Means,,using
inter_sentential,Enhancement,Manner,Means,,with
inter_sentential,Enhancement,Manner,Means,,by way of
inter_sentential,Enhancement,Manner,Means,,by virtue of
inter_sentential,Enhancement,Manner,Means,,by means of
inter_sentential,Enhancement,Manner,Means,,in the manner of
inter_sentential,Enhancement,Manner,Means,,in the way of
inter_sentential,Enhancement,Manner,Means,,in the fashion of
inter_sentential,Enhancement,Manner,Means,,in the style of
inter_sentential,Enhancement,Manner,Means,,in the form of
inter_sentential,Enhancement,Manner,Means,,in the guise of
inter_sentential,Enhancement,Manner,Means,,in the shape of
inter_sentential,Enhancement,Manner,Means,,in the likeness of
inter_sentential,Enhancement,Manner,Means,,in accordance with
inter_sentential,Enhancement,Causal-Conditional,General,,so
inter_sentential,Enhancement,Causal-Conditional,General,,therefore
inter_sentential,Enhancement,Causal-Conditional,General,,thus
inter_sentential,Enhancement,Causal-Conditional,General,,hence
inter_sentential,Enhancement,Causal-Conditional,General,,consequently
inter_sentential,Enhancement,Causal-Conditional,General,,accordingly
inter_sentential,Enhancement,Causal-Conditional,General,,ergo
inter_sentential,Enhancement,Causal-Conditional,General,,for this reason
inter_sentential,Enhancement,Causal-Conditional,General,,as a result
inter_sentential,Enhancement,Causal-Conditional,General,,that being the case
inter_sentential,Enhancement,Causal-Conditional,General,,under the circumstances
inter_sentential,Enhancement,Causal-Conditional,Result,,in consequence
inter_sentential,Enhancement,Causal-Conditional,Result,,as a consequence
inter_sentential,Enhancement,Causal-Conditional,Result,,resultantly
inter_sentential,Enhancement,Causal-Conditional,Result,,inevitably
inter_sentential,Enhancement,Causal-Conditional,Result,,necessarily
inter_sentential,Enhancement,Causal-Conditional,Result,,followingly
