text_id,analysis_level,word_count_text,word_count_source,detected_cases_raw,detected_cases_per_1000,macro_extension_raw,macro_extension_per_1000,macro_elaboration_raw,macro_elaboration_per_1000,intersent_elab_clar_corrective_raw,intersent_elab_clar_corrective_per_1000,intersent_elab_clar_verif_raw,intersent_elab_clar_verif_per_1000,intersent_ext_add_positive_raw,intersent_ext_add_positive_per_1000,intersent_ext_adv_raw,intersent_ext_adv_per_1000,macro_enhancement_raw,macro_enhancement_per_1000,intersent_enh_spatio_temporal_simple_following_raw,intersent_enh_spatio_temporal_simple_following_per_1000,intersent_enh_caus_reason_raw,intersent_enh_caus_reason_per_1000,intersent_enh_caus_cond_positive_raw,intersent_enh_caus_cond_positive_per_1000,intersent_ext_var_alt_raw,intersent_ext_var_alt_per_1000,intersent_elab_exemp_raw,intersent_elab_exemp_per_1000,intersent_enh_caus_general_raw,intersent_enh_caus_general_per_1000,intersent_elab_appositive_raw,intersent_elab_appositive_per_1000,intersent_enh_spatio_temporal_simple_sim_raw,intersent_enh_spatio_temporal_simple_sim_per_1000,intersent_enh_manner_means_raw,intersent_enh_manner_means_per_1000,intersent_enh_spatio_temporal_simple_concl_raw,intersent_enh_spatio_temporal_simple_concl_per_1000,intersent_enh_caus_result_raw,intersent_enh_caus_result_per_1000,intersent_enh_spatio_temporal_complex_specific_raw,intersent_enh_spatio_temporal_complex_specific_per_1000,intersent_elab_clar_sum_raw,intersent_elab_clar_sum_per_1000,intersent_ext_var_repl_raw,intersent_ext_var_repl_per_1000,intersent_enh_spatio_temporal_complex_durative_raw,intersent_enh_spatio_temporal_complex_durative_per_1000,intersent_elab_clar_dismissive_raw,intersent_elab_clar_dismissive_per_1000,intersent_enh_caus_conc_raw,intersent_enh_caus_conc_per_1000,intersent_ext_add_negative_raw,intersent_ext_add_negative_per_1000,intersent_enh_spatio_temporal_simple_preceding_raw,intersent_enh_spatio_temporal_simple_preceding_per_1000,intersent_enh_spatio_temporal_complex_repetitive_raw,intersent_enh_spatio_temporal_complex_repetitive_per_1000,intersent_enh_caus_purpose_raw,intersent_enh_caus_purpose_per_1000,intersent_enh_spatio_temporal_complex_interrupted_raw,intersent_enh_spatio_temporal_complex_interrupted_per_1000,intersent_enh_spatio_temporal_complex_terminal_raw,intersent_enh_spatio_temporal_complex_terminal_per_1000,intersent_enh_caus_cond_negative_raw,intersent_enh_caus_cond_negative_per_1000,intersent_enh_spatio_temporal_complex_immediate_raw,intersent_enh_spatio_temporal_complex_immediate_per_1000,intersent_enh_manner_comparison_negative_raw,intersent_enh_manner_comparison_negative_per_1000,intersent_enh_manner_comparison_positive_raw,intersent_enh_manner_comparison_positive_per_1000,intersent_elab_clar_particularizing_raw,intersent_elab_clar_particularizing_per_1000,intersent_ext_var_subtr_raw,intersent_ext_var_subtr_per_1000,intersent_elab_clar_resumptive_raw,intersent_elab_clar_resumptive_per_1000,intersent_enh_spatio_temporal_complex_punctiliar_raw,intersent_enh_spatio_temporal_complex_punctiliar_per_1000,intersent_elab_clar_distractive_raw,intersent_elab_clar_distractive_per_1000,intersent_enh_matter_negative_raw,intersent_enh_matter_negative_per_1000,intersent_enh_matter_positive_raw,intersent_enh_matter_positive_per_1000
gig_516,inter_sentential_v2,367,parser_full_text,7,19.07356948228883,5.0,13.623978201634877,,,,,,,4.0,10.899182561307901,1.0,2.7247956403269753,2.0,5.449591280653951,1.0,2.7247956403269753,,,,,,,,,,,,,,,,,1.0,2.7247956403269753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_517a,inter_sentential_v2,142,parser_full_text,2,14.084507042253522,,,,,,,,,,,,,2.0,14.084507042253522,,,,,1.0,7.042253521126761,,,,,1.0,7.042253521126761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_517c,inter_sentential_v2,156,parser_full_text,2,12.82051282051282,1.0,6.41025641025641,,,,,,,,,1.0,6.41025641025641,1.0,6.41025641025641,1.0,6.41025641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_518a,inter_sentential_v2,319,parser_full_text,1,3.134796238244514,,,,,,,,,,,,,1.0,3.134796238244514,,,,,,,,,,,1.0,3.134796238244514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_518b,inter_sentential_v2,172,parser_full_text,2,11.627906976744185,,,,,,,,,,,,,2.0,11.627906976744185,1.0,5.813953488372093,,,,,,,,,,,,,1.0,5.813953488372093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_518d,inter_sentential_v2,115,parser_full_text,2,17.391304347826086,1.0,8.695652173913043,,,,,,,,,1.0,8.695652173913043,1.0,8.695652173913043,,,,,,,,,,,,,,,,,,,1.0,8.695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_519a,inter_sentential_v2,261,parser_full_text,6,22.988505747126435,,,,,,,,,,,,,6.0,22.988505747126435,6.0,22.988505747126435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_519b,inter_sentential_v2,119,parser_full_text,2,16.80672268907563,,,,,,,,,,,,,2.0,16.80672268907563,1.0,8.403361344537815,,,,,,,,,,,,,,,,,1.0,8.403361344537815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_519d,inter_sentential_v2,145,parser_full_text,2,13.793103448275861,,,,,,,,,,,,,2.0,13.793103448275861,,,,,2.0,13.793103448275861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_51a,inter_sentential_v2,103,parser_full_text,3,29.12621359223301,,,,,,,,,,,,,3.0,29.12621359223301,1.0,9.70873786407767,,,,,,,,,1.0,9.70873786407767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.70873786407767,,,,,,,,,,,,,,,,,,,,,,,,
gig_51b,inter_sentential_v2,100,parser_full_text,3,30.0,,,,,,,,,,,,,3.0,30.0,1.0,10.0,,,,,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
gig_51c,inter_sentential_v2,158,parser_full_text,5,31.645569620253166,2.0,12.658227848101266,,,,,,,,,2.0,12.658227848101266,3.0,18.9873417721519,1.0,6.329113924050633,,,,,,,,,1.0,6.329113924050633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.329113924050633,,,,,,,,,,,,,,,,,,,,,,,,
gig_51d,inter_sentential_v2,146,parser_full_text,2,13.698630136986301,1.0,6.8493150684931505,1.0,6.8493150684931505,1.0,6.8493150684931505,,,,,1.0,6.8493150684931505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_520a,inter_sentential_v2,109,parser_full_text,2,18.34862385321101,,,,,,,,,,,,,2.0,18.34862385321101,1.0,9.174311926605505,,,,,,,,,1.0,9.174311926605505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_520b,inter_sentential_v2,157,parser_full_text,3,19.108280254777068,,,,,,,,,,,,,3.0,19.108280254777068,3.0,19.108280254777068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_520c,inter_sentential_v2,409,parser_full_text,6,14.669926650366747,,,,,,,,,,,,,6.0,14.669926650366747,4.0,9.7799511002445,,,,,,,,,,,,,,,,,1.0,2.444987775061125,,,,,,,,,,,,,,,,,,,,,,,1.0,2.444987775061125,,,,,,,,,,,,,,,,,,,,,,,,
gig_521b,inter_sentential_v2,307,parser_full_text,2,6.514657980456026,,,1.0,3.257328990228013,,,,,,,,,1.0,3.257328990228013,1.0,3.257328990228013,,,,,,,,,,,,,,,,,,,,,,,1.0,3.257328990228013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_521c,inter_sentential_v2,381,parser_full_text,1,2.6246719160104988,1.0,2.6246719160104988,,,,,,,,,,,,,,,,,,,1.0,2.6246719160104988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_521d,inter_sentential_v2,243,parser_full_text,3,12.345679012345679,,,,,,,,,,,,,3.0,12.345679012345679,,,,,3.0,12.345679012345679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_521e,inter_sentential_v2,331,parser_full_text,1,3.0211480362537766,1.0,3.0211480362537766,,,,,,,1.0,3.0211480362537766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_521f,inter_sentential_v2,440,parser_full_text,2,4.545454545454545,1.0,2.2727272727272725,,,,,,,,,1.0,2.2727272727272725,1.0,2.2727272727272725,1.0,2.2727272727272725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_522a,inter_sentential_v2,479,parser_full_text,2,4.17536534446764,,,,,,,,,,,,,2.0,4.17536534446764,,,,,,,,,,,1.0,2.08768267223382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.08768267223382,,,,,,,,,,,,,,,,,,,,
gig_522b,inter_sentential_v2,444,parser_full_text,4,9.00900900900901,2.0,4.504504504504505,1.0,2.2522522522522523,,,,,1.0,2.2522522522522523,1.0,2.2522522522522523,1.0,2.2522522522522523,1.0,2.2522522522522523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.2522522522522523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_522c,inter_sentential_v2,452,parser_full_text,3,6.6371681415929205,1.0,2.2123893805309733,1.0,2.2123893805309733,1.0,2.2123893805309733,,,,,1.0,2.2123893805309733,1.0,2.2123893805309733,1.0,2.2123893805309733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_522d,inter_sentential_v2,373,parser_full_text,2,5.361930294906166,,,,,,,,,,,,,2.0,5.361930294906166,2.0,5.361930294906166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_522e,inter_sentential_v2,247,parser_full_text,3,12.145748987854251,2.0,8.097165991902834,,,,,,,,,2.0,8.097165991902834,1.0,4.048582995951417,1.0,4.048582995951417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
