text_id,detected_item,n_cases
gig_1075b,however,1
gig_1075b,if,1
gig_1075b,immediately,1
gig_1075b,perhaps,2
gig_1076a,also,1
gig_1076a,immediately,1
gig_1076b,also,1
gig_1076b,earlier,1
gig_1077a,even though,1
gig_1077a,however,1
gig_1077b,after,1
gig_1077b,also,1
gig_1077b,but,1
gig_1077b,in conclusion,1
gig_1078a,also,1
gig_1078a,for example,3
gig_1078a,for instance,1
gig_1078a,however,2
gig_1078a,in summary,1
gig_1078a,so,1
gig_1078b,also,1
gig_1078b,for example,1
gig_1078b,furthermore,1
gig_1078b,however,4
gig_1078b,moreover,1
gig_1078b,whilst,1
gig_1079,alternatively,1
gig_1079,if,1
gig_1079,immediately,1
gig_1079,to conclude,1
gig_1079,while,1
gig_107a,so,1
gig_107b,the next day,1
gig_1080a,additionally,2
gig_1080a,also,1
gig_1080a,throughout,1
gig_1080b,additionally,1
gig_1080b,earlier,1
gig_1080b,for example,2
gig_1080b,however,2
gig_1080b,later,1
gig_1081,again,1
gig_1081,furthermore,1
gig_1081,in conclusion,1
gig_1081,instead,1
gig_1081,once,1
gig_1081,unlike,1
gig_1082a,however,1
gig_1082a,in conclusion,1
gig_1082a,in contrast,1
gig_1082a,on the other hand,1
gig_1082a,once,1
gig_1082a,therefore,2
gig_1082a,throughout,1
gig_1082b,also,2
gig_1082b,because of,1
gig_1082b,but,1
gig_1082b,however,1
gig_1082b,instantly,1
gig_1082b,later,1
gig_1083a,mainly,1
gig_1083b,furthermore,1
gig_1084a,also,1
gig_1084a,but,1
gig_1084a,however,2
gig_1084a,later,1
gig_1084b,also,3
gig_1084b,but,1
gig_1084b,however,1
gig_1084b,later,1
gig_1084b,so,1
gig_1085a,after,2
gig_1085a,also,1
gig_1085a,earlier,1
gig_1085a,however,1
gig_1085a,in conclusion,1
gig_1085b,for example,1
gig_1085b,however,1
gig_1085b,in conclusion,1
gig_1086,throughout,1
gig_1087a,in conclusion,1
gig_1087a,throughout,1
gig_1087b,also,1
gig_1087b,despite,1
gig_1087b,however,1
gig_1087b,in conclusion,1
gig_1087b,through,1
gig_1087b,throughout,2
gig_1088a,additionally,1
gig_1088a,also,1
gig_1088a,however,1
gig_1088a,therefore,1
gig_1088b,additionally,2
gig_1088b,also,2
gig_1088b,although,1
gig_1088b,however,2
gig_1088b,if,2
gig_1088b,so,1
gig_1088b,ultimately,1
gig_1089a,after,1
gig_1089a,in conclusion,1
gig_1089a,later,1
gig_1089b,again,1
gig_1089b,despite,1
gig_1089b,in conclusion,1
gig_1089b,yet,1
gig_108b,while,1
gig_1090,also,1
gig_1090,for example,3
gig_1090,however,1
gig_1090,plus,1
gig_1090,so,2
gig_1091a,if not,1
gig_1091a,instead,1
gig_1091b,in contrast,1
gig_1091d,for example,2
gig_1091d,in contrast,1
gig_1091d,whereas,1
gig_1091e,however,1
gig_1091e,if,2
gig_1091e,so,1
gig_1091f,next,1
gig_1091f,repeatedly,1
gig_1092a,although,1
gig_1092a,furthermore,1
gig_1092a,so,1
gig_1092b,however,2
gig_1092d,despite,1
gig_1092d,however,1
gig_1092e,also,1
gig_1093d,however,1
gig_1093e,although,1
gig_1094d,if,1
gig_1095a,furthermore,1
