text_id,analysis_level,detected_item,feature_code,macro_category,path_2,path_3,path_4,path_5,taxis,raw_count,per_1000,word_count_text,word_count_source
es_wr_c1_22_19_3_acr,inter_sentential_v2,however,intersent_ext_adv,Extension,Adversative,,,,,1,2.881844380403458,347,parser_full_text
es_wr_c1_22_19_3_agf,inter_sentential_v2,once,intersent_enh_caus_cond_positive,Enhancement,Causal-Conditional,Conditional,Positive,,,1,3.472222222222222,288,parser_full_text
es_wr_c1_22_19_3_ppc,inter_sentential_v2,additionally,intersent_ext_add_positive,Extension,Addition,Positive,,,,1,1.8975332068311195,527,parser_full_text
es_wr_c1_22_19_3_ppc,inter_sentential_v2,although,intersent_ext_adv,Extension,Adversative,,,,,1,1.8975332068311195,527,parser_full_text
es_wr_c1_22_19_3_ppc,inter_sentential_v2,first,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,1.8975332068311195,527,parser_full_text
es_wr_c1_22_19_3_ppc,inter_sentential_v2,however,intersent_ext_adv,Extension,Adversative,,,,,2,3.795066413662239,527,parser_full_text
es_wr_c1_22_19_3_ppc,inter_sentential_v2,if,intersent_enh_caus_cond_positive,Enhancement,Causal-Conditional,Conditional,Positive,,,1,1.8975332068311195,527,parser_full_text
es_wr_c1_22_19_3_ppc,inter_sentential_v2,in conclusion,intersent_elab_clar_sum,Elaboration,Clarifying,Summative,,,,1,1.8975332068311195,527,parser_full_text
es_wr_c1_22_19_3_ppc,inter_sentential_v2,in particular,intersent_elab_clar_particularizing,Elaboration,Clarifying,Particularizing,,,,1,1.8975332068311195,527,parser_full_text
es_wr_c1_22_19_3_ppc,inter_sentential_v2,moreover,intersent_ext_add_positive,Extension,Addition,Positive,,,,1,1.8975332068311195,527,parser_full_text
es_wr_c1_22_7_14_bga,inter_sentential_v2,after,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,3.3557046979865772,298,parser_full_text
es_wr_c1_22_7_14_bga,inter_sentential_v2,afterwards,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,3.3557046979865772,298,parser_full_text
es_wr_c1_22_7_14_bga,inter_sentential_v2,then,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,2,6.7114093959731544,298,parser_full_text
es_wr_c1_22_7_3_apd,inter_sentential_v2,after,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,3.0864197530864197,324,parser_full_text
es_wr_c1_22_9_13_lfr,inter_sentential_v2,later,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,2.849002849002849,351,parser_full_text
