text_id,detected_item,n_cases
cz_wr_b1_18_9.5_14_kc,while,2
cz_wr_b1_19_10_14_am,maybe,1
cz_wr_b1_19_10_14_mb,after,1
cz_wr_b1_19_10_14_mb,but,5
cz_wr_b1_19_10_14_mb,so,1
cz_wr_b1_20_14_14_at,after a while,1
cz_wr_b1_20_14_14_at,but,1
cz_wr_b1_20_14_14_at,first,1
cz_wr_b1_34_5_14_lk,then,1
cz_wr_b1_47_4_14_vh,but,1
cz_wr_b1_47_4_14_vh,meanwhile,1
cz_wr_b1_47_4_14_vh,so,2
cz_wr_b1_62_5_14_bk,but,2
cz_wr_b2_18_10_14_ar,but,1
cz_wr_b2_18_10_14_ar,then,1
cz_wr_b2_18_10_14_ms,in the end,1
cz_wr_b2_18_10_14_ms,then,2
cz_wr_b2_18_11_14_ld,after a while,1
cz_wr_b2_18_11_14_ld,however,1
cz_wr_b2_18_11_14_ld,then,2
cz_wr_b2_18_12_14_jf,after,1
cz_wr_b2_18_12_14_jf,although,1
cz_wr_b2_18_12_14_jf,however,1
cz_wr_b2_18_12_14_jf,in the end,1
cz_wr_b2_18_12_14_jf,later,1
cz_wr_b2_18_12_14_jf,once,1
cz_wr_b2_18_12_14_jf,then,2
cz_wr_b2_18_12_14_jf,therefore,1
cz_wr_b2_18_15.5_14_os,in the end,1
cz_wr_b2_18_8_14_dn,but,1
cz_wr_b2_18_8_14_dn,meanwhile,1
cz_wr_b2_18_8_14_dn,so,1
cz_wr_b2_18_8_14_nd,but,1
cz_wr_b2_18_8_14_nd,however,1
cz_wr_b2_18_8_14_nd,so,2
cz_wr_b2_19_11_14_tv,in the end,1
cz_wr_b2_19_13_14_jch,however,1
cz_wr_b2_22_18_14_lg,first,1
cz_wr_b2_22_18_14_lg,however,1
cz_wr_b2_24_17_14_kp,after,1
cz_wr_b2_24_17_14_kp,but,3
cz_wr_b2_24_17_14_kp,so,1
cz_wr_b2_26_16_14_ab,finally,1
cz_wr_b2_26_16_14_ab,then,1
cz_wr_b2_28_19_14_pm,unfortunately,1
cz_wr_b2_29_17_14_ts,finally,1
cz_wr_b2_29_17_14_ts,in the end,1
cz_wr_b2_30_10_14_jv,after,1
cz_wr_b2_30_10_14_jv,in the end,2
cz_wr_b2_30_10_14_jv,so,1
cz_wr_b2_31_21_14_ml,but,1
cz_wr_b2_33_17_14_vk,so,1
cz_wr_b2_33_17_14_vk,then,1
cz_wr_b2_34_22_14_kh,later,1
cz_wr_b2_34_22_14_kh,unfortunately,1
cz_wr_b2_35_32_14_mk,first,1
cz_wr_b2_44_30_14_kb,so,1
cz_wr_c1_18_14_14_bf,but,1
cz_wr_c1_18_14_14_bf,so,1
cz_wr_c1_18_14_14_bf,then,1
cz_wr_c1_18_14_14_bf,while,1
cz_wr_c1_18_9_14_cp,after,1
cz_wr_c1_18_9_14_cp,but,5
cz_wr_c1_18_9_14_cp,so,10
cz_wr_c1_18_9_14_cp,still,1
cz_wr_c1_18_9_14_cp,then,13
cz_wr_c1_18_9_14_cp,while,2
cz_wr_c1_18_9_14_nk,but,1
cz_wr_c1_18_9_14_nk,in the end,1
cz_wr_c1_18_9_14_nk,so,1
cz_wr_c1_18_9_14_nk,unfortunately,1
cz_wr_c1_19_10_14_fb,meanwhile,1
cz_wr_c1_19_10_14_fb,so,1
cz_wr_c1_19_10_14_fb,then,1
cz_wr_c1_19_14_14_vaz,after a while,1
cz_wr_c1_19_14_14_vaz,but,2
