text_id,detected_item,n_cases
efcamdat_100922,but,1
efcamdat_100930,so,1
efcamdat_1009326,finally,1
efcamdat_100937,at the same time,1
efcamdat_100937,finally,1
efcamdat_100937,so,1
efcamdat_10096,also,1
efcamdat_10096,finally,1
efcamdat_10096,first,1
efcamdat_10096,next,1
efcamdat_100971,so,1
efcamdat_100973,then,1
efcamdat_100974,maybe,1
efcamdat_1009873,besides,1
efcamdat_1009874,after,1
efcamdat_1009874,then,1
efcamdat_1009875,after,1
efcamdat_1009875,from then on,1
efcamdat_1009875,however,1
efcamdat_1009875,till,1
efcamdat_1009877,nevertheless,1
efcamdat_100988,after,1
efcamdat_10099,actually,1
efcamdat_100994,maybe,1
efcamdat_1009941,after,1
efcamdat_100995,after,1
efcamdat_100995,if,1
efcamdat_100996,at least,1
efcamdat_100998,perhaps,1
efcamdat_10100,also,1
efcamdat_10100,finally,1
efcamdat_10100,first,1
efcamdat_101001,if,2
efcamdat_101002,after,1
efcamdat_101002,in the end,2
efcamdat_101002,so,1
efcamdat_101002,unfortunately,1
efcamdat_101003,if,1
efcamdat_101004,also,1
efcamdat_101004,but,1
efcamdat_101006,but,1
efcamdat_101007,also,1
efcamdat_101007,but,1
efcamdat_101007,finally,1
efcamdat_101009,if,1
efcamdat_10101,moreover,1
efcamdat_1010107,however,1
efcamdat_101011,finally,1
efcamdat_101011,next,1
efcamdat_101013,later,1
efcamdat_101014,second,1
efcamdat_101014,third,1
efcamdat_101019,for example,1
efcamdat_10102,also,1
efcamdat_101023,but,1
efcamdat_101029,if,1
efcamdat_10103,after,1
efcamdat_10103,in conclusion,1
efcamdat_1010323,fortunately,1
efcamdat_1010351,because,1
efcamdat_1010351,but,1
efcamdat_1010351,for example,1
efcamdat_101038,but,1
efcamdat_10104,if,1
efcamdat_10105,finally,1
efcamdat_10105,second,1
efcamdat_1010526,if,1
efcamdat_1010527,but,1
efcamdat_1010773,so,1
efcamdat_10108,but,1
efcamdat_10108,though,1
efcamdat_1010959,if,1
efcamdat_1010959,since,1
efcamdat_1010960,in relation to,1
efcamdat_101107,but,1
efcamdat_101115,first,1
efcamdat_101115,if,1
efcamdat_101116,finally,1
efcamdat_101116,first,1
efcamdat_101116,next,1
efcamdat_101117,if,1
efcamdat_101118,but,1
efcamdat_101119,but,1
efcamdat_101121,so,1
efcamdat_10113,if,1
efcamdat_101130,if,1
efcamdat_10114,if,2
efcamdat_101144,if,1
efcamdat_101144,otherwise,1
efcamdat_1011442,all in all,1
efcamdat_1011442,but,1
efcamdat_101145,before,1
efcamdat_101150,finally,1
efcamdat_101150,from then on,1
efcamdat_101150,next,1
efcamdat_101151,then,1
efcamdat_101153,if,1
efcamdat_101155,after,1
efcamdat_101155,then,1
efcamdat_101156,but,1
efcamdat_101156,if,1
efcamdat_101159,after,2
efcamdat_1011595,but,2
efcamdat_101160,so,1
efcamdat_10117,if,2
efcamdat_101172,if,1
efcamdat_101179,finally,1
efcamdat_101179,unfortunately,1
efcamdat_101182,after,1
efcamdat_101187,at the same time,1
efcamdat_101187,maybe,1
efcamdat_1011962,but,1
efcamdat_101197,after,1
efcamdat_101197,so,1
efcamdat_101205,finally,1
efcamdat_101205,so,2
efcamdat_1012115,but,1
efcamdat_101232,finally,1
efcamdat_101232,first,1
efcamdat_101232,next,1
efcamdat_1012323,so,1
efcamdat_1012329,because,1
efcamdat_1012329,but,1
efcamdat_1012329,just now,1
efcamdat_1012329,next,3
efcamdat_1012329,so,1
efcamdat_1012333,also,1
efcamdat_101245,after,2
efcamdat_1012464,so,1
efcamdat_1012464,while,1
efcamdat_1012474,finally,1
efcamdat_1012474,then,1
efcamdat_101279,by the way,1
efcamdat_1012886,after,2
efcamdat_101298,after,1
efcamdat_101302,that is,1
efcamdat_101309,maybe,1
efcamdat_101316,also,1
efcamdat_101316,before,1
efcamdat_101317,so,1
efcamdat_101322,in that,1
efcamdat_101323,first,1
efcamdat_101324,if,2
efcamdat_1013257,actually,1
efcamdat_1013257,but,1
efcamdat_101326,finally,1
efcamdat_101328,however,1
efcamdat_101328,if,1
efcamdat_101329,if,1
efcamdat_101376,but,1
efcamdat_101381,after,1
efcamdat_101383,anyway,1
efcamdat_1013915,second,1
efcamdat_101419,also,1
efcamdat_101420,later,1
efcamdat_101421,after,1
efcamdat_101421,maybe,1
efcamdat_101422,also,1
efcamdat_101422,but,1
efcamdat_101422,first,1
efcamdat_101425,at this moment,1
efcamdat_101425,but,2
efcamdat_101425,however,1
efcamdat_101427,by the way,1
efcamdat_101438,finally,1
efcamdat_101438,next,1
efcamdat_101439,in addition,1
efcamdat_1014408,then,1
efcamdat_101442,finally,1
efcamdat_101442,first,1
efcamdat_101442,then,1
efcamdat_101443,or,1
efcamdat_101444,also,1
efcamdat_101445,but,1
efcamdat_101445,first,1
efcamdat_101445,maybe,1
efcamdat_101445,second,1
efcamdat_101445,third,1
efcamdat_101446,although,1
efcamdat_101446,however,2
efcamdat_101470,after,1
efcamdat_1014727,but,2
efcamdat_1014727,since,1
efcamdat_101475,if,1
efcamdat_101477,after,1
efcamdat_101483,after,1
efcamdat_101489,then,1
efcamdat_101491,if,1
efcamdat_101492,finally,1
efcamdat_101492,next,1
efcamdat_101492,then,1
efcamdat_101496,if,1
efcamdat_101498,second,1
efcamdat_101501,after,1
efcamdat_101502,if,1
efcamdat_101503,but,1
efcamdat_101503,if,1
efcamdat_101504,actually,1
efcamdat_101507,if,2
efcamdat_101510,but,1
efcamdat_101510,if,1
efcamdat_101511,then,1
efcamdat_101544,but,1
efcamdat_101549,after,1
efcamdat_101549,fortunately,1
efcamdat_101549,however,1
efcamdat_1015537,after,1
efcamdat_1015537,for example,1
efcamdat_1015537,later,1
efcamdat_101554,so,1
efcamdat_101555,furthermore,1
efcamdat_101556,also,1
efcamdat_101557,if,1
efcamdat_101558,also,1
efcamdat_101558,but,1
efcamdat_101562,furthermore,1
efcamdat_101566,so,1
efcamdat_101568,notably,1
efcamdat_101569,after,2
efcamdat_101570,but,1
efcamdat_101572,however,1
efcamdat_101573,after,1
efcamdat_101573,if,1
efcamdat_101576,if,2
efcamdat_101606,after,1
efcamdat_101608,finally,1
efcamdat_101608,next,1
efcamdat_101628,so,1
efcamdat_1016356,actually,1
efcamdat_1016356,after,1
efcamdat_101636,finally,1
efcamdat_101636,next,1
efcamdat_1016536,then,1
efcamdat_101666,but,1
efcamdat_101668,maybe,1
efcamdat_101670,maybe,1
efcamdat_101671,but,1
efcamdat_1016724,although,1
efcamdat_101673,then,1
efcamdat_1016730,in addition,1
efcamdat_101674,then,2
efcamdat_101676,but,1
efcamdat_101676,so,1
efcamdat_101677,but,1
efcamdat_101678,but,1
efcamdat_101678,then,1
efcamdat_101679,if,1
efcamdat_1016932,finally,1
efcamdat_1016932,for example,1
efcamdat_1017055,in fact,1
efcamdat_101718,but,1
efcamdat_101718,by the way,1
efcamdat_101725,after,1
efcamdat_101725,so,1
efcamdat_101726,after,2
efcamdat_101727,if,1
efcamdat_101731,finally,1
efcamdat_101732,unfortunately,1
efcamdat_101735,if,1
efcamdat_101735,so,1
efcamdat_101737,then,1
efcamdat_1017372,so,1
efcamdat_1017398,but,1
efcamdat_101740,also,1
efcamdat_1017404,first,1
efcamdat_101743,finally,1
efcamdat_101743,next,1
efcamdat_101751,finally,1
efcamdat_101751,however,1
efcamdat_101751,so,1
efcamdat_101751,then,1
efcamdat_101753,finally,1
efcamdat_101754,in that,1
efcamdat_101755,also,1
efcamdat_101756,if,1
efcamdat_101758,although,1
efcamdat_101760,fortunately,1
efcamdat_101760,then,1
efcamdat_1017641,also,1
efcamdat_101765,if,1
efcamdat_101796,at least,1
efcamdat_1018016,if,3
efcamdat_1018116,if,1
efcamdat_101814,if,1
efcamdat_101815,after,1
efcamdat_101839,also,1
efcamdat_1018502,in the morning,1
efcamdat_1018591,furthermore,1
efcamdat_101865,in the morning,1
efcamdat_101868,after,1
efcamdat_10187,if,4
efcamdat_101881,in the morning,1
efcamdat_101881,then,1
efcamdat_1018828,but,1
efcamdat_1018828,so,1
efcamdat_10191,never,1
efcamdat_10191,so,2
efcamdat_101913,but,1
efcamdat_10192,but,1
efcamdat_10192,but for,1
efcamdat_101922,after,1
efcamdat_101937,after,1
efcamdat_101937,finally,1
efcamdat_101937,then,1
efcamdat_1019493,then,1
efcamdat_1019493,unfortunately,1
efcamdat_1019502,so,1
efcamdat_1019505,because of,1
efcamdat_1019586,after,1
efcamdat_1019586,but,2
efcamdat_101960,but,1
efcamdat_1019636,so,1
efcamdat_1019639,unfortunately,1
efcamdat_101968,actually,1
efcamdat_10197,if,2
efcamdat_101971,however,1
efcamdat_101976,so,1
efcamdat_101977,but,1
efcamdat_101984,also,1
efcamdat_101984,because,1
efcamdat_101984,that is,1
efcamdat_101989,fortunately,1
efcamdat_101989,so,1
efcamdat_101994,if,1
efcamdat_101995,after,1
efcamdat_101997,if,2
efcamdat_101997,then,2
efcamdat_1019973,or,1
efcamdat_1019973,so,1
efcamdat_101998,first,1
efcamdat_101998,if,1
efcamdat_101998,next,1
efcamdat_10200,if,1
efcamdat_102000,but,1
efcamdat_102003,afterwards,1
efcamdat_102007,before,1
efcamdat_102007,moreover,1
efcamdat_1020183,so,1
efcamdat_1020186,really,1
efcamdat_102033,besides,1
efcamdat_102033,if,1
efcamdat_102037,that is,1
efcamdat_102038,in the end,1
efcamdat_102038,so,1
efcamdat_102040,also,1
efcamdat_102041,that is,1
efcamdat_1020521,so,1
efcamdat_1020524,first,1
efcamdat_1020524,fourth,1
efcamdat_1020524,second,1
efcamdat_1020524,third,1
efcamdat_102054,then,1
efcamdat_1020639,then,1
efcamdat_1020648,but,1
efcamdat_1020648,next,1
efcamdat_1020648,therefore,1
efcamdat_102084,maybe,1
efcamdat_1020866,but,1
efcamdat_102091,after,1
efcamdat_102091,then,1
efcamdat_1020962,next,1
efcamdat_1020962,then,1
efcamdat_102097,additionally,1
efcamdat_102097,if,1
efcamdat_102100,finally,1
efcamdat_102100,first,1
efcamdat_102100,second,1
efcamdat_102101,finally,1
efcamdat_102102,if,1
efcamdat_102102,so,1
efcamdat_102103,first,1
efcamdat_102103,if,1
efcamdat_102105,after,1
efcamdat_102105,finally,1
efcamdat_102105,next,1
efcamdat_1021195,once,1
efcamdat_1021461,but,2
efcamdat_102151,so,1
efcamdat_102153,maybe,1
efcamdat_102155,however,1
efcamdat_102156,once,1
efcamdat_102157,then,1
efcamdat_1021633,but,1
efcamdat_1021641,after,1
efcamdat_1021641,but,1
efcamdat_1021641,so,1
efcamdat_102166,so,1
efcamdat_102171,if,1
efcamdat_102171,so,1
efcamdat_102171,then,1
efcamdat_102175,by the way,1
efcamdat_102175,in fact,1
efcamdat_102177,maybe,1
efcamdat_102180,also,1
efcamdat_102183,if,2
efcamdat_1021831,if,1
efcamdat_102196,if,1
efcamdat_102197,also,1
efcamdat_102197,meanwhile,1
efcamdat_102197,then,1
efcamdat_102198,if,1
efcamdat_102203,but,1
efcamdat_102204,for example,1
efcamdat_102205,however,1
efcamdat_102207,however,1
efcamdat_102208,because,1
efcamdat_102209,also,1
efcamdat_102209,maybe,1
efcamdat_1022093,after,1
efcamdat_1022093,the next day,1
efcamdat_102212,if,2
efcamdat_102214,if,1
efcamdat_102214,never,1
efcamdat_102215,after,1
efcamdat_102215,because of,1
efcamdat_102215,so,1
efcamdat_102216,but,1
efcamdat_102216,so,1
efcamdat_102217,if,1
efcamdat_102219,but,1
