text_id,macro_category,n_cases
gig_1058c,Extension,2
gig_1058d,Extension,1
gig_1058e,Extension,1
gig_1058f,Enhancement,2
gig_1058f,Extension,1
gig_1059a,Enhancement,1
gig_1059c,Enhancement,1
gig_1059d,Extension,1
gig_1059e,Enhancement,1
gig_105a,Extension,2
gig_105b,Enhancement,7
gig_1060b,Extension,1
gig_1060c,Enhancement,2
gig_1060c,Extension,2
gig_1060d,Extension,1
gig_1060e,Enhancement,1
gig_1060e,Extension,1
gig_1060f,Extension,2
gig_1061a,Enhancement,1
gig_1061b,Enhancement,2
gig_1061b,Extension,2
gig_1061c,Elaboration,1
gig_1061c,Extension,3
gig_1061d,Enhancement,2
gig_1061d,Extension,2
gig_1061e,Elaboration,1
gig_1061f,Extension,3
gig_1062a,Extension,2
gig_1062b,Elaboration,1
gig_1062b,Enhancement,1
gig_1062c,Elaboration,1
gig_1062c,Enhancement,1
gig_1062c,Extension,3
gig_1062d,Enhancement,1
gig_1062e,Extension,3
gig_1063a,Extension,3
gig_1063b,Enhancement,1
gig_1063c,Enhancement,1
gig_1063c,Extension,5
gig_1063d,Enhancement,1
gig_1063d,Extension,2
gig_1063e,Enhancement,1
gig_1063e,Extension,1
gig_1063f,Elaboration,1
gig_1063f,Extension,4
gig_1064b,Elaboration,1
gig_1064b,Extension,3
gig_1064c,Elaboration,1
gig_1064c,Enhancement,4
gig_1064c,Extension,8
gig_1064d,Enhancement,2
gig_1064d,Extension,3
gig_1064e,Extension,4
gig_1065a,Enhancement,2
gig_1065b,Extension,2
gig_1065c,Extension,1
gig_1066a,Enhancement,1
gig_1066a,Extension,4
gig_1066b,Elaboration,1
gig_1066b,Extension,2
gig_1066c,Enhancement,4
gig_1066c,Extension,5
gig_1066e,Elaboration,2
gig_1066e,Enhancement,2
gig_1066e,Extension,1
gig_1066f,Enhancement,1
gig_1066f,Extension,1
gig_1067a,Enhancement,2
gig_1067b,Elaboration,1
gig_1067b,Enhancement,1
gig_1067c,Enhancement,2
gig_1067c,Extension,4
gig_1067d,Elaboration,1
gig_1067d,Enhancement,1
gig_1067d,Extension,4
gig_1067e,Elaboration,1
gig_1067e,Enhancement,1
gig_1067e,Extension,3
gig_1068a,Elaboration,1
gig_1068a,Enhancement,4
gig_1068a,Extension,1
gig_1068b,Extension,4
gig_1069a,Enhancement,1
gig_1069a,Extension,1
gig_1069b,Enhancement,2
gig_1069b,Extension,4
gig_106a,Elaboration,1
gig_106a,Enhancement,1
gig_106a,Extension,3
gig_1070,Enhancement,1
gig_1071,Elaboration,2
gig_1071,Enhancement,1
gig_1071,Extension,3
gig_1072a,Enhancement,3
gig_1072a,Extension,2
gig_1072b,Enhancement,2
gig_1072b,Extension,2
gig_1073,Enhancement,5
gig_1073,Extension,4
gig_1074a,Elaboration,3
gig_1074a,Enhancement,4
gig_1074a,Extension,5
gig_1074b,Elaboration,2
gig_1074b,Enhancement,1
gig_1074b,Extension,2
gig_1075a,Elaboration,1
gig_1075a,Extension,3
gig_1075b,Elaboration,2
gig_1075b,Enhancement,2
gig_1075b,Extension,1
gig_1076a,Enhancement,1
gig_1076a,Extension,1
gig_1076b,Enhancement,1
gig_1076b,Extension,1
gig_1077a,Extension,2
gig_1077b,Elaboration,1
gig_1077b,Enhancement,1
gig_1077b,Extension,2
gig_1078a,Elaboration,5
gig_1078a,Enhancement,1
gig_1078a,Extension,3
gig_1078b,Elaboration,1
gig_1078b,Extension,8
gig_1079,Enhancement,3
gig_1079,Extension,2
gig_107a,Enhancement,1
gig_107b,Enhancement,1
gig_1080a,Enhancement,1
gig_1080a,Extension,3
gig_1080b,Elaboration,2
gig_1080b,Enhancement,2
gig_1080b,Extension,3
gig_1081,Elaboration,1
gig_1081,Enhancement,3
gig_1081,Extension,2
gig_1082a,Elaboration,1
gig_1082a,Enhancement,4
gig_1082a,Extension,3
gig_1082b,Enhancement,3
gig_1082b,Extension,4
gig_1083a,Elaboration,1
gig_1083b,Extension,1
gig_1084a,Enhancement,1
gig_1084a,Extension,4
gig_1084b,Enhancement,2
gig_1084b,Extension,5
gig_1085a,Elaboration,1
gig_1085a,Enhancement,3
gig_1085a,Extension,2
gig_1085b,Elaboration,2
gig_1085b,Extension,1
gig_1086,Enhancement,1
gig_1087a,Elaboration,1
gig_1087a,Enhancement,1
gig_1087b,Elaboration,1
gig_1087b,Enhancement,4
gig_1087b,Extension,2
gig_1088a,Enhancement,1
gig_1088a,Extension,3
gig_1088b,Elaboration,1
gig_1088b,Enhancement,3
gig_1088b,Extension,7
gig_1089a,Elaboration,1
gig_1089a,Enhancement,2
gig_1089b,Elaboration,1
gig_1089b,Enhancement,2
gig_1089b,Extension,1
gig_108b,Extension,1
gig_1090,Elaboration,3
gig_1090,Enhancement,2
gig_1090,Extension,3
gig_1091a,Extension,2
gig_1091b,Extension,1
gig_1091d,Elaboration,2
gig_1091d,Extension,2
gig_1091e,Enhancement,3
gig_1091e,Extension,1
gig_1091f,Enhancement,2
gig_1092a,Enhancement,1
gig_1092a,Extension,2
gig_1092b,Extension,2
gig_1092d,Enhancement,1
gig_1092d,Extension,1
gig_1092e,Extension,1
gig_1093d,Extension,1
gig_1093e,Extension,1
gig_1094d,Enhancement,1
gig_1095a,Extension,1
gig_1095b,Extension,7
gig_1095c,Enhancement,1
gig_1095c,Extension,3
gig_1095d,Enhancement,1
gig_1095d,Extension,8
gig_1095e,Enhancement,2
gig_1095e,Extension,4
gig_1095f,Extension,1
gig_1096b,Extension,2
gig_1096d,Extension,2
gig_1096e,Extension,1
gig_1097b,Elaboration,1
gig_1097b,Extension,4
gig_1097c,Elaboration,1
gig_1097c,Extension,2
gig_1097d,Elaboration,2
gig_1097d,Enhancement,1
gig_1097d,Extension,4
gig_1097e,Elaboration,1
gig_1097e,Enhancement,4
gig_1097e,Extension,2
gig_1097f,Enhancement,4
gig_1097f,Extension,2
gig_1098b,Extension,1
gig_1098c,Extension,1
gig_1098d,Extension,2
gig_1098e,Extension,1
gig_1098f,Enhancement,2
gig_1098f,Extension,1
gig_1099a,Extension,1
gig_1099b,Extension,2
gig_1099c,Enhancement,1
gig_1099e,Extension,1
gig_1099f,Extension,1
gig_109a,Enhancement,1
gig_109a,Extension,1
gig_109b,Enhancement,1
gig_1100a,Extension,1
gig_1100c,Enhancement,1
gig_1100d,Extension,1
gig_1100e,Enhancement,2
gig_1100e,Extension,2
gig_1101b,Enhancement,3
gig_1101e,Enhancement,2
gig_1101e,Extension,4
gig_1102a,Enhancement,1
gig_1102b,Extension,2
gig_1102d,Elaboration,1
gig_1102d,Enhancement,1
