text_id,macro_category,n_cases
efcamdat_1010351,Extension,1
efcamdat_101038,Extension,1
efcamdat_10104,Enhancement,1
efcamdat_10105,Enhancement,2
efcamdat_1010526,Enhancement,1
efcamdat_1010527,Extension,1
efcamdat_1010773,Enhancement,1
efcamdat_10108,Extension,2
efcamdat_1010959,Enhancement,2
efcamdat_1010960,Enhancement,1
efcamdat_101107,Extension,1
efcamdat_101115,Enhancement,2
efcamdat_101116,Enhancement,3
efcamdat_101117,Enhancement,1
efcamdat_101118,Extension,1
efcamdat_101119,Extension,1
efcamdat_101121,Enhancement,1
efcamdat_10113,Enhancement,1
efcamdat_101130,Enhancement,1
efcamdat_10114,Enhancement,2
efcamdat_101144,Enhancement,1
efcamdat_101144,Extension,1
efcamdat_1011442,Elaboration,1
efcamdat_1011442,Extension,1
efcamdat_101145,Enhancement,1
efcamdat_101150,Enhancement,3
efcamdat_101151,Enhancement,1
efcamdat_101153,Enhancement,1
efcamdat_101155,Enhancement,2
efcamdat_101156,Enhancement,1
efcamdat_101156,Extension,1
efcamdat_101159,Enhancement,2
efcamdat_1011595,Extension,2
efcamdat_101160,Enhancement,1
efcamdat_10117,Enhancement,2
efcamdat_101172,Enhancement,1
efcamdat_101179,Enhancement,2
efcamdat_101182,Enhancement,1
efcamdat_101187,Elaboration,1
efcamdat_101187,Enhancement,1
efcamdat_1011962,Extension,1
efcamdat_101197,Enhancement,2
efcamdat_101205,Enhancement,3
efcamdat_1012115,Extension,1
efcamdat_101232,Enhancement,3
efcamdat_1012323,Enhancement,1
efcamdat_1012329,Enhancement,6
efcamdat_1012329,Extension,1
efcamdat_1012333,Extension,1
efcamdat_101245,Enhancement,2
efcamdat_1012464,Enhancement,1
efcamdat_1012464,Extension,1
efcamdat_1012474,Enhancement,2
efcamdat_101279,Elaboration,1
efcamdat_1012886,Enhancement,2
efcamdat_101298,Enhancement,1
efcamdat_101302,Elaboration,1
efcamdat_101309,Elaboration,1
efcamdat_101316,Enhancement,1
efcamdat_101316,Extension,1
efcamdat_101317,Enhancement,1
efcamdat_101322,Enhancement,1
efcamdat_101323,Enhancement,1
efcamdat_101324,Enhancement,2
efcamdat_1013257,Elaboration,1
efcamdat_1013257,Extension,1
efcamdat_101326,Enhancement,1
efcamdat_101328,Enhancement,1
efcamdat_101328,Extension,1
efcamdat_101329,Enhancement,1
efcamdat_101376,Extension,1
efcamdat_101381,Enhancement,1
efcamdat_101383,Elaboration,1
efcamdat_1013915,Enhancement,1
efcamdat_101419,Extension,1
efcamdat_101420,Enhancement,1
efcamdat_101421,Elaboration,1
efcamdat_101421,Enhancement,1
efcamdat_101422,Enhancement,1
efcamdat_101422,Extension,2
efcamdat_101425,Enhancement,1
efcamdat_101425,Extension,3
efcamdat_101427,Elaboration,1
efcamdat_101438,Enhancement,2
efcamdat_101439,Extension,1
efcamdat_1014408,Enhancement,1
efcamdat_101442,Enhancement,3
efcamdat_101443,Extension,1
efcamdat_101444,Extension,1
efcamdat_101445,Elaboration,1
efcamdat_101445,Enhancement,3
efcamdat_101445,Extension,1
efcamdat_101446,Extension,3
efcamdat_101470,Enhancement,1
efcamdat_1014727,Enhancement,1
efcamdat_1014727,Extension,2
efcamdat_101475,Enhancement,1
efcamdat_101477,Enhancement,1
efcamdat_101483,Enhancement,1
efcamdat_101489,Enhancement,1
efcamdat_101491,Enhancement,1
efcamdat_101492,Enhancement,3
efcamdat_101496,Enhancement,1
efcamdat_101498,Enhancement,1
efcamdat_101501,Enhancement,1
efcamdat_101502,Enhancement,1
efcamdat_101503,Enhancement,1
efcamdat_101503,Extension,1
efcamdat_101504,Elaboration,1
efcamdat_101507,Enhancement,2
efcamdat_101510,Enhancement,1
efcamdat_101510,Extension,1
efcamdat_101511,Enhancement,1
efcamdat_101544,Extension,1
efcamdat_101549,Enhancement,2
efcamdat_101549,Extension,1
efcamdat_1015537,Elaboration,1
efcamdat_1015537,Enhancement,2
efcamdat_101554,Enhancement,1
efcamdat_101555,Extension,1
efcamdat_101556,Extension,1
efcamdat_101557,Enhancement,1
efcamdat_101558,Extension,2
efcamdat_101562,Extension,1
efcamdat_101566,Enhancement,1
efcamdat_101568,Elaboration,1
efcamdat_101569,Enhancement,2
efcamdat_101570,Extension,1
efcamdat_101572,Extension,1
efcamdat_101573,Enhancement,2
efcamdat_101576,Enhancement,2
efcamdat_101606,Enhancement,1
efcamdat_101608,Enhancement,2
efcamdat_101628,Enhancement,1
efcamdat_1016356,Elaboration,1
efcamdat_1016356,Enhancement,1
efcamdat_101636,Enhancement,2
efcamdat_1016536,Enhancement,1
efcamdat_101666,Extension,1
efcamdat_101668,Elaboration,1
efcamdat_101670,Elaboration,1
efcamdat_101671,Extension,1
efcamdat_1016724,Extension,1
efcamdat_101673,Enhancement,1
efcamdat_1016730,Extension,1
efcamdat_101674,Enhancement,2
efcamdat_101676,Enhancement,1
efcamdat_101676,Extension,1
efcamdat_101677,Extension,1
efcamdat_101678,Enhancement,1
efcamdat_101678,Extension,1
efcamdat_101679,Enhancement,1
efcamdat_1016932,Elaboration,1
efcamdat_1016932,Enhancement,1
efcamdat_1017055,Elaboration,1
efcamdat_101718,Elaboration,1
efcamdat_101718,Extension,1
efcamdat_101725,Enhancement,2
efcamdat_101726,Enhancement,2
efcamdat_101727,Enhancement,1
efcamdat_101731,Enhancement,1
efcamdat_101732,Enhancement,1
efcamdat_101735,Enhancement,2
efcamdat_101737,Enhancement,1
efcamdat_1017372,Enhancement,1
efcamdat_1017398,Extension,1
efcamdat_101740,Extension,1
efcamdat_1017404,Enhancement,1
efcamdat_101743,Enhancement,2
efcamdat_101751,Enhancement,3
efcamdat_101751,Extension,1
efcamdat_101753,Enhancement,1
efcamdat_101754,Enhancement,1
efcamdat_101755,Extension,1
efcamdat_101756,Enhancement,1
efcamdat_101758,Extension,1
efcamdat_101760,Enhancement,2
efcamdat_1017641,Extension,1
efcamdat_101765,Enhancement,1
efcamdat_101796,Elaboration,1
efcamdat_1018016,Enhancement,3
efcamdat_1018116,Enhancement,1
efcamdat_101814,Enhancement,1
efcamdat_101815,Enhancement,1
efcamdat_101839,Extension,1
efcamdat_1018502,Enhancement,1
efcamdat_1018591,Extension,1
efcamdat_101865,Enhancement,1
efcamdat_101868,Enhancement,1
efcamdat_10187,Enhancement,4
efcamdat_101881,Enhancement,2
efcamdat_1018828,Enhancement,1
efcamdat_1018828,Extension,1
efcamdat_10191,Enhancement,2
efcamdat_10191,Extension,1
efcamdat_101913,Extension,1
efcamdat_10192,Enhancement,1
efcamdat_10192,Extension,1
efcamdat_101922,Enhancement,1
efcamdat_101937,Enhancement,3
efcamdat_1019493,Enhancement,2
efcamdat_1019502,Enhancement,1
efcamdat_1019505,Enhancement,1
efcamdat_1019586,Enhancement,1
efcamdat_1019586,Extension,2
efcamdat_101960,Extension,1
efcamdat_1019636,Enhancement,1
efcamdat_1019639,Enhancement,1
efcamdat_101968,Elaboration,1
efcamdat_10197,Enhancement,2
efcamdat_101971,Extension,1
efcamdat_101976,Enhancement,1
efcamdat_101977,Extension,1
efcamdat_101984,Elaboration,1
efcamdat_101984,Enhancement,1
efcamdat_101984,Extension,1
efcamdat_101989,Enhancement,2
efcamdat_101994,Enhancement,1
efcamdat_101995,Enhancement,1
efcamdat_101997,Enhancement,4
efcamdat_1019973,Enhancement,1
efcamdat_1019973,Extension,1
efcamdat_101998,Enhancement,3
efcamdat_10200,Enhancement,1
efcamdat_102000,Extension,1
efcamdat_102003,Enhancement,1
efcamdat_102007,Enhancement,1
efcamdat_102007,Extension,1
efcamdat_1020183,Enhancement,1
efcamdat_1020186,Elaboration,1
efcamdat_102033,Enhancement,1
efcamdat_102033,Extension,1
efcamdat_102037,Elaboration,1
efcamdat_102038,Enhancement,2
