corpus,text_id,group,word_count_text,paragraph_count_text,eligible_paragraph_starts,supported_interparagraph_elaboration_raw,supported_interparagraph_enhancement_raw,supported_interparagraph_extension_raw,supported_interparagraph_total_raw,supported_interparagraph_total_per_1000,supported_interparagraph_total_per_eligible_paragraph_start,supported_interparagraph_elaboration_per_1000,supported_interparagraph_elaboration_per_eligible_paragraph_start,supported_interparagraph_enhancement_per_1000,supported_interparagraph_enhancement_per_eligible_paragraph_start,supported_interparagraph_extension_per_1000,supported_interparagraph_extension_per_eligible_paragraph_start
GiG,1023b,11,199,4,3,0,1,0,1,5.025125628140704,0.3333333333333333,0.0,0.0,5.025125628140704,0.3333333333333333,0.0,0.0
GiG,1023c,11,389,2,1,1,0,0,1,2.5706940874035986,1.0,2.5706940874035986,1.0,0.0,0.0,0.0,0.0
GiG,1023d,11,353,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1023e,11,314,3,2,0,0,1,1,3.1847133757961785,0.5,0.0,0.0,0.0,0.0,3.1847133757961785,0.5
GiG,1023f,11,286,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1023g,11,363,5,4,0,0,1,1,2.7548209366391188,0.25,0.0,0.0,0.0,0.0,2.7548209366391188,0.25
GiG,1023h,11,141,3,2,0,0,1,1,7.092198581560283,0.5,0.0,0.0,0.0,0.0,7.092198581560283,0.5
GiG,1023i,11,345,12,11,0,1,0,1,2.898550724637681,0.0909090909090909,0.0,0.0,2.898550724637681,0.0909090909090909,0.0,0.0
GiG,1023j,11,162,5,4,0,0,1,1,6.172839506172839,0.25,0.0,0.0,0.0,0.0,6.172839506172839,0.25
GiG,1023k,11,280,12,11,0,2,1,3,10.714285714285714,0.2727272727272727,0.0,0.0,7.142857142857142,0.1818181818181818,3.571428571428571,0.0909090909090909
GiG,1023l,11,218,10,9,1,0,0,1,4.587155963302752,0.1111111111111111,4.587155963302752,0.1111111111111111,0.0,0.0,0.0,0.0
GiG,1023m,11,206,10,9,0,0,1,1,4.854368932038835,0.1111111111111111,0.0,0.0,0.0,0.0,4.854368932038835,0.1111111111111111
GiG,1023n,11,173,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1023o,11,222,8,7,0,0,1,1,4.504504504504505,0.1428571428571428,0.0,0.0,0.0,0.0,4.504504504504505,0.1428571428571428
GiG,1023p,11,174,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1023q,11,165,7,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
