text_id,taxis,n_cases
cz_wr_a2_18_11_14_jn,hypotactic,2
cz_wr_a2_18_14_14_svvv,hypotactic,3
cz_wr_a2_18_14_14_svvv,paratactic,4
cz_wr_a2_18_3_14_dr,hypotactic,3
cz_wr_a2_18_3_14_dr,paratactic,1
cz_wr_a2_18_8.5_14_al,hypotactic,2
cz_wr_a2_18_8.5_14_al,paratactic,3
cz_wr_a2_18_9_14_ap,hypotactic,3
cz_wr_a2_18_9_14_ap,paratactic,4
cz_wr_a2_18_9_14_kz,hypotactic,8
cz_wr_a2_18_9_14_kz,paratactic,4
cz_wr_a2_19_10_14_dr,hypotactic,5
cz_wr_a2_19_10_14_dr,paratactic,8
cz_wr_a2_19_12_14_bp,hypotactic,3
cz_wr_a2_19_12_14_bp,paratactic,3
cz_wr_a2_19_13_14_mh,hypotactic,5
cz_wr_a2_19_13_14_mh,paratactic,5
cz_wr_a2_19_13_14_vv,hypotactic,11
cz_wr_a2_19_13_14_vv,paratactic,10
cz_wr_a2_19_9_14_lh,hypotactic,3
cz_wr_a2_19_9_14_lh,paratactic,3
cz_wr_b1_18_10.5_14_mp,hypotactic,6
cz_wr_b1_18_10.5_14_mp,paratactic,5
cz_wr_b1_18_10_14_tr,hypotactic,4
cz_wr_b1_18_10_14_tr,paratactic,2
cz_wr_b1_18_12_14_svv,hypotactic,3
cz_wr_b1_18_12_14_svv,paratactic,1
cz_wr_b1_18_14_14_kn,hypotactic,12
cz_wr_b1_18_14_14_kn,paratactic,15
cz_wr_b1_18_3_14_vpk,hypotactic,2
cz_wr_b1_18_3_14_vpk,paratactic,2
cz_wr_b1_18_9.5_14_kc,hypotactic,3
cz_wr_b1_18_9.5_14_kc,paratactic,3
cz_wr_b1_19_10_14_am,hypotactic,6
cz_wr_b1_19_10_14_am,paratactic,3
cz_wr_b1_19_10_14_mb,hypotactic,5
cz_wr_b1_19_10_14_mb,paratactic,6
cz_wr_b1_20_14_14_at,hypotactic,6
cz_wr_b1_20_14_14_at,paratactic,7
cz_wr_b1_33_24_14_vj,hypotactic,4
cz_wr_b1_33_24_14_vj,paratactic,3
cz_wr_b1_34_5_14_lk,hypotactic,5
cz_wr_b1_47_4_14_vh,hypotactic,3
cz_wr_b1_47_4_14_vh,paratactic,8
cz_wr_b1_62_5_14_bk,hypotactic,4
cz_wr_b1_62_5_14_bk,paratactic,1
cz_wr_b1_75_5_14_em,hypotactic,3
cz_wr_b1_75_5_14_em,paratactic,1
cz_wr_b2_18_10_14_ar,hypotactic,4
cz_wr_b2_18_10_14_ar,paratactic,4
cz_wr_b2_18_10_14_ms,hypotactic,4
cz_wr_b2_18_10_14_ms,paratactic,4
cz_wr_b2_18_11_14_ld,hypotactic,6
cz_wr_b2_18_11_14_ld,paratactic,8
cz_wr_b2_18_12_14_jf,hypotactic,7
cz_wr_b2_18_12_14_jf,paratactic,5
cz_wr_b2_18_15.5_14_os,hypotactic,4
cz_wr_b2_18_8_14_dn,hypotactic,6
cz_wr_b2_18_8_14_dn,paratactic,2
cz_wr_b2_18_8_14_nd,hypotactic,7
cz_wr_b2_18_8_14_nd,paratactic,8
cz_wr_b2_19_11_14_tv,hypotactic,3
cz_wr_b2_19_11_14_tv,paratactic,2
cz_wr_b2_19_13_14_jch,hypotactic,12
cz_wr_b2_19_13_14_jch,paratactic,13
cz_wr_b2_22_18_14_lg,hypotactic,6
cz_wr_b2_22_18_14_lg,paratactic,4
cz_wr_b2_24_17_14_kp,hypotactic,4
cz_wr_b2_24_17_14_kp,paratactic,6
cz_wr_b2_26_16_14_ab,hypotactic,4
cz_wr_b2_26_16_14_ab,paratactic,1
cz_wr_b2_28_19_14_pm,hypotactic,5
cz_wr_b2_28_19_14_pm,paratactic,5
cz_wr_b2_29_17_14_ts,hypotactic,2
cz_wr_b2_29_17_14_ts,paratactic,1
cz_wr_b2_30_10_14_jv,hypotactic,6
cz_wr_b2_30_10_14_jv,paratactic,8
cz_wr_b2_31_21_14_ml,hypotactic,2
cz_wr_b2_31_21_14_ml,paratactic,2
cz_wr_b2_33_17_14_vk,hypotactic,5
cz_wr_b2_33_17_14_vk,paratactic,10
cz_wr_b2_34_22_14_kh,hypotactic,3
cz_wr_b2_34_22_14_kh,paratactic,3
cz_wr_b2_35_32_14_mk,hypotactic,3
cz_wr_b2_35_32_14_mk,paratactic,3
cz_wr_b2_44_30_14_kb,hypotactic,3
cz_wr_b2_44_30_14_kb,paratactic,3
cz_wr_c1_18_14_14_bf,hypotactic,6
cz_wr_c1_18_14_14_bf,paratactic,4
cz_wr_c1_18_9_14_cp,hypotactic,20
cz_wr_c1_18_9_14_cp,paratactic,26
cz_wr_c1_18_9_14_nk,hypotactic,2
cz_wr_c1_19_10_14_fb,hypotactic,4
cz_wr_c1_19_10_14_fb,paratactic,2
cz_wr_c1_19_14_14_vaz,hypotactic,5
cz_wr_c1_19_14_14_vaz,paratactic,5
cz_wr_c1_20_10_14_bv,hypotactic,4
cz_wr_c1_20_10_14_bv,paratactic,1
cz_wr_c1_24_14_14_as,hypotactic,7
cz_wr_c1_24_14_14_as,paratactic,2
cz_wr_c1_33_16_14_sr,hypotactic,3
cz_wr_c1_33_16_14_sr,paratactic,1
cz_wr_c1_33_30_14_jp,hypotactic,5
cz_wr_c1_33_30_14_jp,paratactic,1
cz_wr_c1_38_28_14_jp,hypotactic,3
cz_wr_c1_38_28_14_jp,paratactic,2
cz_wr_c1_44_32_14_lm,hypotactic,6
cz_wr_c1_44_32_14_lm,paratactic,4
cz_wr_c1_47_37_14_tch,hypotactic,4
cz_wr_c1_47_37_14_tch,paratactic,3
