text_id,macro_category,n_cases
gig_1029d,Enhancement,4
gig_1029e,Enhancement,7
gig_1029e,Extension,1
gig_1029f,Elaboration,3
gig_1029f,Enhancement,5
gig_1029f,Extension,1
gig_102a,Enhancement,5
gig_102a,Extension,5
gig_102b,Enhancement,8
gig_102b,Extension,1
gig_1030,Elaboration,1
gig_1030,Enhancement,2
gig_1031a,Elaboration,4
gig_1031a,Enhancement,14
gig_1031b,Elaboration,2
gig_1031b,Enhancement,19
gig_1031b,Extension,1
gig_1031c,Elaboration,2
gig_1031c,Enhancement,16
gig_1031d,Enhancement,5
gig_1031d,Extension,1
gig_1032a,Enhancement,3
gig_1032a,Extension,1
gig_1032b,Elaboration,1
gig_1032b,Enhancement,7
gig_1032c,Enhancement,4
gig_1032c,Extension,1
gig_1032d,Enhancement,4
gig_1033,Enhancement,3
gig_1033,Extension,1
gig_1034,Enhancement,11
gig_1035,Enhancement,2
gig_1035,Extension,2
gig_1036,Elaboration,2
gig_1036,Enhancement,14
gig_1037a,Elaboration,1
gig_1037a,Enhancement,6
gig_1037a,Extension,1
gig_1037b,Enhancement,10
gig_1037b,Extension,2
gig_1038a,Elaboration,1
gig_1038a,Enhancement,12
gig_1038a,Extension,3
gig_1038b,Enhancement,6
gig_1038b,Extension,1
gig_1039a,Enhancement,7
gig_1039b,Enhancement,3
gig_1039b,Extension,2
gig_1039c,Enhancement,10
gig_1039c,Extension,2
gig_103a,Enhancement,3
gig_103a,Extension,1
gig_103b,Enhancement,6
gig_103b,Extension,3
gig_1040,Enhancement,22
gig_1041a,Elaboration,2
gig_1041a,Enhancement,8
gig_1041a,Extension,2
gig_1041c,Enhancement,2
gig_1041d,Enhancement,7
gig_1042a,Elaboration,1
gig_1042a,Enhancement,9
gig_1042a,Extension,2
gig_1042b,Enhancement,6
gig_1042c,Elaboration,1
gig_1042c,Enhancement,15
gig_1042c,Extension,1
gig_1043a,Enhancement,3
gig_1043b,Elaboration,1
gig_1043b,Enhancement,1
gig_1044a,Enhancement,17
gig_1044a,Extension,1
gig_1044b,Elaboration,1
gig_1044b,Enhancement,11
gig_1044b,Extension,2
gig_1044c,Enhancement,8
gig_1045a,Elaboration,5
gig_1045a,Enhancement,19
gig_1045a,Extension,3
gig_1045b,Elaboration,1
gig_1045b,Enhancement,5
gig_1045c,Enhancement,8
gig_1046a,Enhancement,3
gig_1046a,Extension,1
gig_1046b,Enhancement,2
gig_1046c,Enhancement,3
gig_1046d,Enhancement,4
gig_1047a,Enhancement,2
gig_1047a,Extension,1
gig_1047b,Enhancement,3
gig_1047c,Enhancement,1
gig_1047d,Enhancement,5
gig_1047e,Enhancement,3
gig_1048a,Enhancement,1
gig_1048b,Enhancement,3
