text_id,detected_item,n_cases
cn_wr_c1_32_10_14_ln,since,1
cn_wr_c1_32_10_14_ln,when,1
cn_wr_c1_32_10_14_ln,where,2
cn_wr_c1_32_10_14_ln,while,1
cn_wr_c1_32_19_14_hp,and,1
cn_wr_c1_32_19_14_hp,when,1
cn_wr_c1_32_19_14_hp,where,2
cn_wr_c1_32_22_14_hg,and,2
cn_wr_c1_32_22_14_hg,but,1
cn_wr_c1_32_22_14_hg,so,1
cn_wr_c1_32_22_14_hg,where,2
cn_wr_c1_32_22_14_hg,while,1
cn_wr_c1_32_22_14_xt,after,1
cn_wr_c1_32_22_14_xt,and,5
cn_wr_c1_32_22_14_xt,away from,1
cn_wr_c1_32_22_14_xt,hence,1
cn_wr_c1_32_22_14_xt,so,1
cn_wr_c1_32_22_14_xt,when,1
cn_wr_c1_32_22_14_xt,where,3
cn_wr_c1_32_24_14_ly,after,1
cn_wr_c1_32_24_14_ly,because,1
cn_wr_c1_32_24_14_ly,so,1
cn_wr_c1_32_24_14_ly,then,1
cn_wr_c1_32_24_14_ly,therefore,1
cn_wr_c1_32_24_14_ly,where,3
cn_wr_c1_32_24_14_ly,while,1
cn_wr_c1_32_25_14_wyy,after,1
cn_wr_c1_32_25_14_wyy,and,3
cn_wr_c1_32_25_14_wyy,before,1
cn_wr_c1_32_25_14_wyy,but,1
cn_wr_c1_32_25_14_wyy,if,1
cn_wr_c1_32_25_14_wyy,since,1
cn_wr_c1_32_25_14_wyy,that is,1
cn_wr_c1_32_25_14_wyy,when,1
cn_wr_c1_32_25_14_wyy,where,4
cn_wr_c2_21_15_14_mys,and,1
cn_wr_c2_21_15_14_mys,so,1
cn_wr_c2_21_15_14_mys,where,2
cn_wr_c2_21_15_14_mys,while,1
cn_wr_c2_23_10_14_sw,as,2
cn_wr_c2_23_10_14_sw,but,1
cn_wr_c2_23_10_14_sw,for example,1
cn_wr_c2_23_10_14_sw,so,1
cn_wr_c2_23_10_14_sw,where,4
cn_wr_c2_27_19_14_ez,after,1
cn_wr_c2_27_19_14_ez,when,1
cn_wr_c2_27_19_14_ez,where,2
cn_wr_c2_31_25_14_ll,earlier,1
cn_wr_c2_31_25_14_ll,hence,1
cn_wr_c2_31_25_14_ll,when,1
cn_wr_c2_31_25_14_ll,where,3
cn_wr_c2_31_25_14_ll,whilst,1
cz_wr_a1_18_10_14_pp,and,1
cz_wr_a1_18_10_14_pp,so,1
cz_wr_a1_18_10_14_pp,then,2
cz_wr_a1_18_10_14_pp,where,2
cz_wr_a2_18_10_14_dp,and,1
cz_wr_a2_18_10_14_dp,where,2
cz_wr_a2_18_10_14_fc,and,1
cz_wr_a2_18_10_14_fc,but,2
cz_wr_a2_18_10_14_fc,when,1
cz_wr_a2_18_10_14_fc,where,2
cz_wr_a2_18_10_14_mh,and,1
cz_wr_a2_18_10_14_mh,where,2
cz_wr_a2_18_11_14_jn,where,2
cz_wr_a2_18_14_14_svvv,and,3
cz_wr_a2_18_14_14_svvv,but,1
cz_wr_a2_18_14_14_svvv,where,3
cz_wr_a2_18_3_14_dr,if,1
cz_wr_a2_18_3_14_dr,so,1
cz_wr_a2_18_3_14_dr,where,2
cz_wr_a2_18_8.5_14_al,and,2
cz_wr_a2_18_8.5_14_al,but,1
cz_wr_a2_18_8.5_14_al,where,2
cz_wr_a2_18_9_14_ap,still,2
cz_wr_a2_18_9_14_ap,that is,1
cz_wr_a2_18_9_14_ap,then,1
cz_wr_a2_18_9_14_ap,where,3
cz_wr_a2_18_9_14_kz,after,1
