text_id,analysis_level,word_count_text,word_count_source,detected_cases_raw,detected_cases_per_1000,macro_enhancement_raw,macro_enhancement_per_1000,macro_extension_raw,macro_extension_per_1000,macro_elaboration_raw,macro_elaboration_per_1000,taxis_hypotactic_raw,taxis_hypotactic_per_1000,taxis_paratactic_raw,taxis_paratactic_per_1000,intra_elab_amp_para_raw,intra_elab_amp_para_per_1000,intra_enh_caus_conc_hypo_raw,intra_enh_caus_conc_hypo_per_1000,intra_enh_caus_conc_para_raw,intra_enh_caus_conc_para_per_1000,intra_enh_caus_cond_hypo_raw,intra_enh_caus_cond_hypo_per_1000,intra_enh_temp_later_hypo_raw,intra_enh_temp_later_hypo_per_1000,intra_ext_add_para_raw,intra_ext_add_para_per_1000,intra_ext_var_subtr_para_raw,intra_ext_var_subtr_para_per_1000,intra_enh_manner_means_hypo_raw,intra_enh_manner_means_hypo_per_1000,intra_enh_caus_reason_hypo_raw,intra_enh_caus_reason_hypo_per_1000,intra_enh_temp_sim_hypo_raw,intra_enh_temp_sim_hypo_per_1000,intra_enh_temp_earlier_hypo_raw,intra_enh_temp_earlier_hypo_per_1000,intra_enh_spat_same_place_hypo_raw,intra_enh_spat_same_place_hypo_per_1000,intra_enh_caus_reason_para_raw,intra_enh_caus_reason_para_per_1000,intra_enh_spat_different_place_hypo_raw,intra_enh_spat_different_place_hypo_per_1000,intra_enh_temp_later_para_raw,intra_enh_temp_later_para_per_1000,intra_elab_exemp_para_raw,intra_elab_exemp_para_per_1000,intra_enh_spat_same_place_para_raw,intra_enh_spat_same_place_para_per_1000,intra_ext_alternation_hypo_raw,intra_ext_alternation_hypo_per_1000,intra_ext_var_repl_para_raw,intra_ext_var_repl_para_per_1000,intra_enh_temp_sim_para_raw,intra_enh_temp_sim_para_per_1000,intra_elab_amp_hypo_raw,intra_elab_amp_hypo_per_1000,intra_enh_spat_different_place_para_raw,intra_enh_spat_different_place_para_per_1000,intra_ext_var_repl_hypo_raw,intra_ext_var_repl_hypo_per_1000,intra_elab_clar_hypo_raw,intra_elab_clar_hypo_per_1000,intra_ext_add_hypo_raw,intra_ext_add_hypo_per_1000,intra_elab_clar_para_raw,intra_elab_clar_para_per_1000,intra_enh_manner_comparison_para_raw,intra_enh_manner_comparison_para_per_1000,intra_enh_caus_purpose_hypo_raw,intra_enh_caus_purpose_hypo_per_1000,intra_enh_manner_comparison_hypo_raw,intra_enh_manner_comparison_hypo_per_1000,intra_ext_var_subtr_hypo_raw,intra_ext_var_subtr_hypo_per_1000,intra_enh_temp_earlier_para_raw,intra_enh_temp_earlier_para_per_1000,intra_ext_alternation_para_raw,intra_ext_alternation_para_per_1000
gig_488d,intra_sentential_supported_v2,228,parser_full_text,7,30.70175438596491,5.0,21.929824561403507,1.0,4.385964912280701,1.0,4.385964912280701,3.0,13.157894736842104,4.0,17.543859649122805,,,,,,,1.0,4.385964912280701,,,1.0,4.385964912280701,,,,,2.0,8.771929824561402,,,,,,,2.0,8.771929824561402,,,,,1.0,4.385964912280701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_489,intra_sentential_supported_v2,289,parser_full_text,13,44.98269896193772,7.0,24.22145328719723,6.0,20.761245674740483,,,4.0,13.84083044982699,9.0,31.141868512110726,,,,,,,,,2.0,6.920415224913495,4.0,13.84083044982699,2.0,6.920415224913495,,,1.0,3.4602076124567476,1.0,3.4602076124567476,,,,,2.0,6.920415224913495,,,1.0,3.4602076124567476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_48a,intra_sentential_supported_v2,56,parser_full_text,3,53.57142857142857,2.0,35.714285714285715,1.0,17.857142857142858,,,,,3.0,53.57142857142857,,,,,,,,,,,1.0,17.857142857142858,,,,,,,,,,,,,,,,,2.0,35.714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_490,intra_sentential_supported_v2,234,parser_full_text,17,72.64957264957266,9.0,38.46153846153847,8.0,34.188034188034194,,,7.0,29.914529914529915,10.0,42.73504273504273,,,,,,,,,,,7.0,29.914529914529915,1.0,4.273504273504274,,,2.0,8.547008547008549,4.0,17.094017094017097,,,1.0,4.273504273504274,2.0,8.547008547008549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_491,intra_sentential_supported_v2,300,parser_full_text,10,33.333333333333336,7.0,23.333333333333336,2.0,6.666666666666667,1.0,3.3333333333333335,7.0,23.333333333333336,3.0,10.0,,,,,,,,,,,2.0,6.666666666666667,,,,,1.0,3.3333333333333335,5.0,16.666666666666668,,,,,,,,,,,1.0,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,1.0,3.3333333333333335,,,,,,,,
gig_492,intra_sentential_supported_v2,428,parser_full_text,17,39.719626168224295,13.0,30.373831775700936,4.0,9.345794392523365,,,11.0,25.700934579439252,6.0,14.018691588785046,,,1.0,2.336448598130841,1.0,2.336448598130841,,,1.0,2.336448598130841,3.0,7.009345794392523,1.0,2.336448598130841,,,2.0,4.672897196261682,6.0,14.018691588785046,1.0,2.336448598130841,,,,,,,1.0,2.336448598130841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_493,intra_sentential_supported_v2,501,parser_full_text,22,43.91217564870259,15.0,29.940119760479043,7.0,13.972055888223553,,,11.0,21.956087824351297,11.0,21.956087824351297,,,,,2.0,3.992015968063872,,,,,6.0,11.976047904191617,1.0,1.996007984031936,,,3.0,5.9880239520958085,6.0,11.976047904191617,,,,,1.0,1.996007984031936,,,1.0,1.996007984031936,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.992015968063872,,,,,,
gig_494,intra_sentential_supported_v2,284,parser_full_text,19,66.90140845070422,14.0,49.29577464788732,5.0,17.605633802816904,,,10.0,35.21126760563381,9.0,31.69014084507042,,,1.0,3.5211267605633805,4.0,14.084507042253522,1.0,3.5211267605633805,,,3.0,10.56338028169014,2.0,7.042253521126761,,,3.0,10.56338028169014,4.0,14.084507042253522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.5211267605633805,,,,,,
gig_495,intra_sentential_supported_v2,203,parser_full_text,5,24.630541871921185,4.0,19.704433497536947,1.0,4.926108374384237,,,3.0,14.778325123152708,2.0,9.852216748768473,,,,,,,,,,,,,1.0,4.926108374384237,,,3.0,14.778325123152708,,,,,,,,,,,1.0,4.926108374384237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_496,intra_sentential_supported_v2,432,parser_full_text,14,32.407407407407405,10.0,23.148148148148145,4.0,9.25925925925926,,,9.0,20.833333333333332,5.0,11.574074074074073,,,,,1.0,2.314814814814815,,,3.0,6.944444444444444,3.0,6.944444444444444,1.0,2.314814814814815,,,1.0,2.314814814814815,3.0,6.944444444444444,2.0,4.62962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_497,intra_sentential_supported_v2,287,parser_full_text,9,31.358885017421603,6.0,20.905923344947738,3.0,10.452961672473869,,,4.0,13.937282229965156,5.0,17.421602787456447,,,,,,,,,,,1.0,3.484320557491289,2.0,6.968641114982578,,,,,2.0,6.968641114982578,,,1.0,3.484320557491289,1.0,3.484320557491289,,,1.0,3.484320557491289,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.484320557491289,,,,,,
gig_498,intra_sentential_supported_v2,397,parser_full_text,15,37.783375314861466,10.0,25.188916876574307,5.0,12.594458438287154,,,6.0,15.113350125944583,9.0,22.670025188916874,,,,,1.0,2.5188916876574305,1.0,2.5188916876574305,2.0,5.037783375314861,3.0,7.556675062972292,1.0,2.5188916876574305,,,,,2.0,5.037783375314861,,,,,3.0,7.556675062972292,,,,,,,,,,,1.0,2.5188916876574305,,,,,,,,,,,,,,,,,1.0,2.5188916876574305,,,,,,,,
gig_499,intra_sentential_supported_v2,277,parser_full_text,11,39.711191335740075,11.0,39.711191335740075,,,,,11.0,39.711191335740075,,,,,,,,,,,2.0,7.220216606498195,,,,,,,4.0,14.44043321299639,5.0,18.050541516245488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_49a,intra_sentential_supported_v2,69,parser_full_text,6,86.95652173913044,4.0,57.971014492753625,2.0,28.985507246376812,,,4.0,57.971014492753625,2.0,28.985507246376812,,,,,,,,,,,2.0,28.985507246376812,,,,,1.0,14.492753623188406,1.0,14.492753623188406,,,2.0,28.985507246376812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_49b,intra_sentential_supported_v2,58,parser_full_text,1,17.241379310344826,1.0,17.241379310344826,,,,,,,1.0,17.241379310344826,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.241379310344826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_49c,intra_sentential_supported_v2,88,parser_full_text,7,79.54545454545455,5.0,56.81818181818181,2.0,22.727272727272727,,,,,7.0,79.54545454545455,,,,,,,,,,,1.0,11.363636363636363,1.0,11.363636363636363,,,,,,,,,,,5.0,56.81818181818181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_49d,intra_sentential_supported_v2,50,parser_full_text,2,40.0,1.0,20.0,1.0,20.0,,,,,2.0,40.0,,,,,,,,,,,,,1.0,20.0,,,,,,,,,,,,,,,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_5,intra_sentential_supported_v2,388,parser_full_text,9,23.195876288659793,7.0,18.04123711340206,2.0,5.154639175257732,,,5.0,12.886597938144329,4.0,10.309278350515465,,,,,,,1.0,2.577319587628866,1.0,2.577319587628866,1.0,2.577319587628866,1.0,2.577319587628866,,,,,,,2.0,5.154639175257732,,,1.0,2.577319587628866,1.0,2.577319587628866,1.0,2.577319587628866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_500,intra_sentential_supported_v2,394,parser_full_text,5,12.690355329949238,3.0,7.614213197969543,2.0,5.076142131979695,,,2.0,5.076142131979695,3.0,7.614213197969543,,,,,1.0,2.5380710659898473,,,1.0,2.5380710659898473,2.0,5.076142131979695,,,,,,,1.0,2.5380710659898473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_501,intra_sentential_supported_v2,428,parser_full_text,6,14.018691588785046,3.0,7.009345794392523,3.0,7.009345794392523,,,3.0,7.009345794392523,3.0,7.009345794392523,,,,,,,,,1.0,2.336448598130841,1.0,2.336448598130841,2.0,4.672897196261682,,,,,2.0,4.672897196261682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
