text_id,analysis_level,word_count_text,word_count_source,detected_cases_raw,detected_cases_per_1000,macro_extension_raw,macro_extension_per_1000,macro_enhancement_raw,macro_enhancement_per_1000,taxis_paratactic_raw,taxis_paratactic_per_1000,taxis_hypotactic_raw,taxis_hypotactic_per_1000,intra_enh_spat_same_place_hypo_raw,intra_enh_spat_same_place_hypo_per_1000,intra_ext_add_para_raw,intra_ext_add_para_per_1000,intra_enh_caus_reason_para_raw,intra_enh_caus_reason_para_per_1000,intra_enh_temp_sim_hypo_raw,intra_enh_temp_sim_hypo_per_1000,intra_enh_temp_later_para_raw,intra_enh_temp_later_para_per_1000,intra_ext_var_subtr_para_raw,intra_ext_var_subtr_para_per_1000,intra_enh_caus_conc_para_raw,intra_enh_caus_conc_para_per_1000,intra_enh_temp_earlier_hypo_raw,intra_enh_temp_earlier_hypo_per_1000,intra_enh_temp_later_hypo_raw,intra_enh_temp_later_hypo_per_1000,intra_ext_alternation_hypo_raw,intra_ext_alternation_hypo_per_1000,intra_enh_caus_reason_hypo_raw,intra_enh_caus_reason_hypo_per_1000,intra_enh_caus_purpose_hypo_raw,intra_enh_caus_purpose_hypo_per_1000,intra_enh_temp_earlier_para_raw,intra_enh_temp_earlier_para_per_1000,intra_enh_temp_sim_para_raw,intra_enh_temp_sim_para_per_1000,intra_enh_caus_conc_hypo_raw,intra_enh_caus_conc_hypo_per_1000,intra_enh_caus_cond_hypo_raw,intra_enh_caus_cond_hypo_per_1000,intra_enh_spat_same_place_para_raw,intra_enh_spat_same_place_para_per_1000,intra_enh_spat_different_place_hypo_raw,intra_enh_spat_different_place_hypo_per_1000,macro_elaboration_raw,macro_elaboration_per_1000,intra_elab_clar_para_raw,intra_elab_clar_para_per_1000,intra_ext_add_hypo_raw,intra_ext_add_hypo_per_1000,intra_enh_manner_comparison_hypo_raw,intra_enh_manner_comparison_hypo_per_1000,intra_elab_exemp_para_raw,intra_elab_exemp_para_per_1000,intra_ext_var_repl_para_raw,intra_ext_var_repl_para_per_1000,intra_elab_amp_para_raw,intra_elab_amp_para_per_1000,intra_enh_spat_different_place_para_raw,intra_enh_spat_different_place_para_per_1000,intra_ext_var_subtr_hypo_raw,intra_ext_var_subtr_hypo_per_1000,intra_ext_var_repl_hypo_raw,intra_ext_var_repl_hypo_per_1000,intra_elab_amp_hypo_raw,intra_elab_amp_hypo_per_1000,intra_elab_clar_hypo_raw,intra_elab_clar_hypo_per_1000,intra_enh_manner_comparison_para_raw,intra_enh_manner_comparison_para_per_1000,intra_enh_manner_means_hypo_raw,intra_enh_manner_means_hypo_per_1000
es_wr_a2_16_9_13_aug2,intra_sentential_supported_v2,372,parser_full_text,9,24.193548387096772,3.0,8.064516129032258,6,16.129032258064516,5.0,13.440860215053764,4,10.752688172043012,2,5.376344086021506,2.0,5.376344086021506,2.0,5.376344086021506,2.0,5.376344086021506,,,1.0,2.688172043010753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_a2_16_9_13_cja,intra_sentential_supported_v2,327,parser_full_text,5,15.290519877675841,3.0,9.174311926605505,2,6.116207951070336,3.0,9.174311926605505,2,6.116207951070336,2,6.116207951070336,2.0,6.116207951070336,,,,,,,1.0,3.058103975535168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_a2_16_9_13_csc,intra_sentential_supported_v2,301,parser_full_text,8,26.578073089700997,2.0,6.644518272425249,6,19.933554817275745,2.0,6.644518272425249,6,19.933554817275745,4,13.289036544850498,2.0,6.644518272425249,,,2.0,6.644518272425249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_a2_16_9_13_dij,intra_sentential_supported_v2,331,parser_full_text,7,21.148036253776436,4.0,12.084592145015106,3,9.06344410876133,4.0,12.084592145015106,3,9.06344410876133,2,6.042296072507553,2.0,6.042296072507553,,,,,,,2.0,6.042296072507553,,,,,,,,,1.0,3.0211480362537766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_a2_16_9_13_jfj,intra_sentential_supported_v2,348,parser_full_text,12,34.48275862068965,8.0,22.988505747126435,4,11.494252873563218,8.0,22.988505747126435,4,11.494252873563218,2,5.747126436781609,7.0,20.114942528735632,,,2.0,5.747126436781609,,,1.0,2.8735632183908044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_a2_16_9_13_mdb,intra_sentential_supported_v2,345,parser_full_text,8,23.18840579710145,4.0,11.594202898550725,4,11.594202898550725,5.0,14.492753623188406,3,8.695652173913043,2,5.797101449275362,3.0,8.695652173913043,1.0,2.898550724637681,1.0,2.898550724637681,,,1.0,2.898550724637681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_a2_16_9_13_mya,intra_sentential_supported_v2,305,parser_full_text,4,13.114754098360656,1.0,3.278688524590164,3,9.836065573770492,1.0,3.278688524590164,3,9.836065573770492,2,6.557377049180328,,,,,1.0,3.278688524590164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.278688524590164,,,,,,,,,,,,,,,,
es_wr_a2_16_unknown_13_jpm,intra_sentential_supported_v2,334,parser_full_text,4,11.976047904191617,,,4,11.976047904191617,,,4,11.976047904191617,2,5.9880239520958085,,,,,1.0,2.9940119760479043,,,,,,,,,,,,,1.0,2.9940119760479043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_a2_17_10_13_ccl,intra_sentential_supported_v2,332,parser_full_text,8,24.096385542168676,5.0,15.060240963855422,3,9.036144578313253,5.0,15.060240963855422,3,9.036144578313253,2,6.024096385542169,3.0,9.036144578313253,,,1.0,3.0120481927710845,,,2.0,6.024096385542169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_wr_a2_17_10_13_dgc,intra_sentential_supported_v2,398,parser_full_text,7,17.587939698492463,1.0,2.512562814070352,6,15.07537688442211,2.0,5.025125628140704,5,12.56281407035176,3,7.537688442211055,1.0,2.512562814070352,1.0,2.512562814070352,1.0,2.512562814070352,,,,,,,,,,,,,1.0,2.512562814070352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
